distancia y (mm),distancia L (cm),error L,Vpp rec (mV),Escala Vpp (mV),Escala tiempo (mu),promedio,Vpp emi (V),Freciencia emi,distancia pezoelectricos(cm)
,81,"0,5",,100,10,16,,,8
120,,,,,,,,,
220,,,,,,,,,
310,,,,,,,,,
390,,,,,,,,,
"12,5",,,"270,1",,,,,,
"22,5",,,"130,9",,,,,,
"32,5",,,"268,8",,,,,,
"42,5",,,"482,3",,,,,,
"52,5",,,"597,8",,,,,,
"62,5",,,"772,3",,,,,,
"72,5",,,"698,1",,,,,,
"82,5",,,"693,7",,,,,,
"92,5",,,"671,6",,,,,,
"102,5",,,"536,6",,,,,,
"112,5",,,"403,3",,,,,,
"122,5",,,"190,8",,,,,,
"132,5",,,"291,1",,,,,,
"142,5",,,"535,4",,,,,,
"152,5",,,"712,3",,,,,,
"162,5",,,"888,1",,,,,,
"172,5",,,"858,6",,,,,,
"182,5",,,"917,7",,,,,,
"192,5",,,"758,4",,,,,,
"202,5",,,439,,,,,,
"212,5",,,290,,,,,,
"222,5",,,"136,1",,,,,,
"232,5",,,"453,3",,,,,,
"242,5",,,"795,2",,,,,,
"252,5",,,"996,7",,,,,,
"262,5",,,"940,4",,,,,,
"272,5",,,"830,2",,,,,,
"282,5",,,"671,9",,,,,,
"292,5",,,"435,1",,,,,,
"302,5",,,"100,9",,,,,,
"312,5",,,"255,7",,,,,,
"322,5",,,"636,7",,,,,,
"332,5",,,"794,2",,,,,,
"342,5",,,"959,1",,,,,,
"352,5",,,"944,1",,,,,,
"362,5",,,"830,2",,,,,,
"372,5",,,"660,6",,,,,,
"382,5",,,"352,8",,,,,,
"392,5",,,"108,1",,,,,,
"402,5",,,"191,9",,,,,,
"412,5",,,"417,3",,,,,,
"422,5",,,"577,9",,,,,,
"432,5",,,"826,3",,,,,,
"442,5",,,"891,6",,,,,,
"452,5",,,"931,3",,,,,,
"462,5",,,"563,1",,,,,,
"472,5",,,"412,2",,,,,,
"482,5",,,"308,7",,,,,,
"492,5",,,"60,62",,,,,,
"502,5",,,"228,2",,,,,,
"512,5",,,"583,3",,,,,,
"522,5",,,"604,1",,,,,,
"532,5",,,"572,4",,,,,,