hertz_gf_(kHz),hertz_osci_emi_(kHz),hertz_osci_rec_(KHz),escala_emi_(V/div),escala_recp(mV/div),Vpp_emi_(V),Vpp_rec_(mV),desfasaje_(mus),promedio,error_Vpp_rec(mV)
"35,5","35,51",389,2,1,"9,9","2,5","3,6",16,"0,125"
"35,75","35,73",354,2,1,"9,845","2,424","5,6",16,"0,12272"
36,36,"64,71",2,1,"9,845","2,959","7,6",16,"0,13877"
"36,25","36,24","71,22",2,1,"9,887","4,062","9,6",16,"0,17186"
"36,5","36,51","36,014",2,1,"9,88","4,99","13,6",16,"0,1997"
"36,75","36,75","36,9",2,1,"9,913","5,653","15,6",16,"0,21959"
37,"36,99","37,16",2,1,"9,916","6,103","17,6",16,"0,23309"
"37,25","37,25","37,61",2,1,"9,913","7,225","19,6",16,"0,26675"
"37,5","37,5","37,52",2,1,"9,912","9,06",20,16,"0,3218"
"37,75","37,74","37,66",2,2,"9,903","13,64","21,7",16,"0,5092"
38,38,"38,12",2,5,"9,884","22,97","25,6",16,"0,9391"
"38,25","38,25","38,17",2,5,"9,885","34,32","27,6",16,"1,2796"
"38,5","38,51","38,47",2,5,"9,877","47,07","30,2",16,"1,6621"
"38,75","38,7","38,43",2,10,10,"69,6","33,6",1,"2,588"
39,"38,94","38,97",2,10,"9,92","86,4","35,6",1,"3,092"
"39,25","39,3","39,34",2,20,"9,92",135,"38,6",1,"5,05"
"39,5","39,49","39,55",2,50,"9,84",220,"41,6",1,"9,1"
"39,75","39,71","39,77",2,50,"9,84",304,"46,6",1,"11,62"
40,"40,06",40,2,50,"9,76",372,"51,6",1,"13,66"
"40,13","40,19","40,12",2,50,"9,76",384,"53,6",1,"14,02"
"40,2","40,19","40,12",2,50,"9,76",376,"55,4",1,"13,78"
"40,25","40,25","40,25",2,50,"9,76",364,"55,6",1,"13,42"
"40,3","40,25","40,3",2,50,"9,76",350,"56,6",1,13
"40,5","40,45","40,58",2,50,"9,84",256,"59,6",1,"10,18"
"40,75","40,81","40,71",2,50,"9,84",154,"63,6",1,"7,12"
41,"40,98","41,11",2,50,"9,84",94,"64,6",1,"5,32"
"41,25","41,25","41,32",2,50,"9,92",80,"65,6",1,"4,9"
"41,5","41,45","41,66",2,50,10,80,"67,6",1,"4,9"
"41,7","41,73","41,52",2,50,10,82,"68,6",1,"4,96"
"41,75","41,8","41,66",2,50,10,86,"69,6",1,"5,08"
"41,8","41,8","41,8",2,50,10,86,"69,7",1,"5,08"
"41,85","41,8","41,66",2,50,10,84,"70,6",1,"5,02"
"41,95","41,94","41,8",2,50,10,84,"71,6",1,"5,02"
42,"42,08","41,8",2,50,10,88,"71,6",1,"5,14"
"42,25","42,23","42,37",2,50,10,72,"75,6",1,"4,66"
"42,5","42,51","42,4",2,50,10,54,"76,6",1,"4,12"
"42,75","42,75","42,68",2,5,"9,922","38,65","77,6",16,"1,4095"
43,"42,99","43,1",2,5,"9,922","34,7","78,6",16,"1,291"
"43,5","43,5","43,59",2,5,"9,928","35,25","81,6",16,"1,3075"
44,44,"43,88",2,5,"9,93","35,72","85,6",16,"1,3216"
"44,5","44,51","44,6",2,5,"9,914","21,62","89,6",16,"0,8986"
45,45,"44,92",2,5,"9,93","16,54","91,6",16,"0,7462"
"45,5","45,49","45,56",2,5,"9,932","18,43","93,6",16,"0,8029"