distancia (cm),# longitudes de onda,,frecuencia (kHz),Vpp_GF
2,1,,"40,13",15
"2,9",2,,"40,13",
"3,8",3,,"40,13",
"4,6",4,,"40,13",
"5,45",5,,"40,13",
"6,4",6,,"40,13",
"7,2",7,,"40,13",
,,,,
2,1,,"38,13",
"2,9",2,,"38,13",
"3,8",3,,"38,13",
"4,8",4,,"38,13",
"5,65",5,,"38,13",
"6,5",6,,"38,13",
"7,4",7,,"38,13",
,,,,
2,1,,"42,13",
"2,9",2,,"42,13",
"3,8",3,,"42,13",
"4,6",4,,"42,13",
"5,5",5,,"42,13",
"6,3",6,,"42,13",
"7,1",7,,"42,13",
,,,,
2,1,,55,
"2,7",2,,55,
"3,4",3,,55,
4,4,,55,
"4,7",5,,55,
"5,4",6,,55,
6,7,,55,